time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
1991-01-31,1991,JFM,-1.7249845172318594,-1.5427220931534562,-0.6647555634214438
1991-04-30,1991,AMJ,-5.859583799462788,-6.446839163002135,-3.5147518927824737
1991-07-31,1991,JAS,0.23817069212317496,-0.8351623767338878,-2.189257406673171
1991-10-31,1991,OND,-2.889565642976972,-1.153504684590847,0.9170389311660657
1992-01-31,1992,JFM,6.2262089759450605,7.312009355749301,4.358600783126904
1992-04-30,1992,AMJ,8.203194010153284,9.956591922706968,4.110515538711417
1992-07-31,1992,JAS,2.16718765747327,0.9767452877516539,1.025066786951813
1992-10-31,1992,OND,2.006257719869231,3.2378934535651545,1.5797912532695502
1993-01-31,1993,JFM,3.263505545395494,5.1142516213804505,3.1470446910617387
1993-04-30,1993,AMJ,8.11563127876418,4.38222463386478,4.102069894571555
1993-07-31,1993,JAS,-1.9944120528377853,1.0897844167475226,0.8284902623338122
1993-10-31,1993,OND,0.024110729050156335,1.388434705758982,0.6346056898649386
1994-01-31,1994,JFM,0.5620760084355159,0.2988437446311657,0.1647358901292342
1994-04-30,1994,AMJ,-0.4958349195430188,-1.484593450173492,-0.3958422003274609
1994-07-31,1994,JAS,-2.2809865948874384,-3.1988309660086793,-0.1662577000752753
1994-10-31,1994,OND,-2.9911274753373704,-2.7442394666123375,0.0652067777670916
1995-01-31,1995,JFM,6.689462061429305,6.7642271339002535,2.5474569678762853
1995-04-30,1995,AMJ,2.3352087564671953,0.43913332220574863,-0.8316739903581888
1995-07-31,1995,JAS,2.5091317582326003,-1.3468789414626972,-0.6814732408580045
1995-10-31,1995,OND,0.6599515588620954,-1.273350342115279,-0.15132598560179478
1996-01-31,1996,JFM,2.8833076016920196,2.2340162526308047,-0.12239011121157813
1996-04-30,1996,AMJ,-0.29929454918632564,-0.9241690351921561,0.8842637934475458
1996-07-31,1996,JAS,-2.7243932618601647,-3.6479309258994417,-1.1505026849357554
1996-10-31,1996,OND,0.5963093398370317,-0.9729451502868408,-0.6730933266579883
1997-01-31,1997,JFM,-2.3139252924818865,-3.036450606254276,-0.5494996748145692
1997-04-30,1997,AMJ,4.374569039166377,1.3370519318912042,4.535926468558401
1997-07-31,1997,JAS,7.743991011840971,5.579520258463702,3.9090902631014552
1997-10-31,1997,OND,7.052435265857089,9.56646285830415,5.934697765607861
1998-01-31,1998,JFM,9.928888078609459,9.576364195878126,5.445150928103891
1998-04-30,1998,AMJ,4.289359617039401,5.23168599053961,0.36380884302717154
1998-07-31,1998,JAS,-2.4162373528360415,-0.07333325414524447,0.3344874196513359
1998-10-31,1998,OND,-3.540439980046252,-6.779244294656263,-3.040843251558695
1999-01-31,1999,JFM,-2.4986102915402664,-5.469315968756106,-3.77435549536777
1999-04-30,1999,AMJ,-7.6631340874490865,-7.633872620019621,-4.353233669594538
1999-07-31,1999,JAS,-2.9527716420702634,-4.403397434165726,-4.228662866117398
1999-10-31,1999,OND,-4.200434968507196,-5.8710503475933375,-3.4906496406786105
2000-01-31,2000,JFM,-0.3297499134075162,-1.6265992595922623,-2.4446176184156245
2000-04-30,2000,AMJ,1.302794661916007,0.19993908312351025,-0.2857006261517968
2000-07-31,2000,JAS,-3.8987746900213143,-3.4933481164782028,-1.6176436295859553
2000-10-31,2000,OND,-3.648091497190453,-4.4321976627918955,-2.5179083601423042
2001-01-31,2001,JFM,-2.070420392971192,-1.7078357973036957,-1.4602888246483932
2001-04-30,2001,AMJ,-4.49866870593072,-3.0618333911976903,-1.9295235063330662
2001-07-31,2001,JAS,-4.19857926253304,-4.176161120568392,-2.6454784197931516
2001-10-31,2001,OND,-0.04015443057102101,-1.634942530733882,-1.417217119405384
2002-01-31,2002,JFM,-3.9604757987993264,-5.559848067609001,-2.3422107475009035
2002-04-30,2002,AMJ,-4.115789496283353,-4.209768971869969,-2.488170818280127
2002-07-31,2002,JAS,-2.639352641840277,-2.7150367938270072,-1.5803714553376913
2002-10-31,2002,OND,3.9999541352487213,1.9852302126675907,0.48077093822306566
2003-01-31,2003,JFM,2.133324055103187,0.7771207092601378,1.5336111096164378
2003-04-30,2003,AMJ,2.40303528741444,1.3177752205736788,-1.5660010996953824
2003-07-31,2003,JAS,-0.6101769790282753,-0.27746725837703173,-1.003846952655773
2003-10-31,2003,OND,1.7977755670065105,0.23994586541338966,0.0928846436322925
2004-01-31,2004,JFM,0.2593146265774453,-0.9255083970975928,-0.14977257947222125
2004-04-30,2004,AMJ,1.1413770518513329,-1.3104446360903919,0.8909555944736584
2004-07-31,2004,JAS,1.5193917028053954,0.6162215403621576,0.34379086525210834
2004-10-31,2004,OND,-0.4228126284063425,1.5997536879999854,0.40309605607431087
2005-01-31,2005,JFM,3.7063576144063535,5.4274980142032145,3.0786911493101323
2005-04-30,2005,AMJ,5.975055157960079,2.5938772076187893,1.4507614570434093
2005-07-31,2005,JAS,-2.3564462815890788,-1.7229649009115109,-0.9087803624419267
2005-10-31,2005,OND,-0.2655854937667644,-2.287231949576755,-1.3907908205222699
